detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
FAST,1.47921,1865,FREAK,63.6088,1791,9.86487,14.2376,12.6142,74.9529,0002
FAST,1.48521,1840,FREAK,63.6842,1766,9.82565,14.4553,14.091,74.995,0003
FAST,1.45134,1867,FREAK,64.888,1742,11.636,14.0766,16.6894,77.9753,0004
FAST,1.5125,1876,FREAK,63.7393,1755,9.45455,14.4739,15.9082,74.7064,0005
FAST,1.52098,1843,FREAK,63.5136,1757,8.88597,12.435,12.6787,73.9205,0006
FAST,1.508,1829,FREAK,64.3463,1732,9.11636,13.4674,11.9844,74.9707,0007
FAST,1.5481,1843,FREAK,63.7438,1699,9.263,11.819,13.1241,74.5549,0008
FAST,1.89342,1818,FREAK,78.6106,1711,9.46623,12.8498,13.0241,89.9703,0009
FAST,2.00828,1879,FREAK,80.1196,1686,10.2613,13.4169,11.1746,92.3891,0010
FAST,1.75569,1849,FREAK,79.4461,1733,9.64497,13.1788,12.8086,90.8467,0011
FAST,1.8051,1826,FREAK,78.8791,1736,9.85344,11.5256,8.95978,90.5376,0012
FAST,1.82663,1842,FREAK,75.9573,1697,9.84814,11.7063,9.96439,87.6321,0013
FAST,1.54599,1833,FREAK,62.1235,1719,9.60392,11.4,9.59863,73.2734,0014
FAST,1.50906,1921,FREAK,60.8672,1706,9.30366,11.3869,8.57352,71.6799,0015
FAST,1.55377,1934,FREAK,60.5576,1789,8.81691,12.305,9.51617,70.9283,0016
FAST,1.60874,1946,FREAK,62.5859,1795,10.2499,8.61022,9.54658,74.4445,0017
FAST,1.50692,1961,FREAK,60.8825,1785,9.70769,11.5066,8.3988,72.0971,0018
FAST,1.52609,1898,SIFT,35.3807,1864,11.5511,11.3112,12.5156,48.4579,0001
FAST,1.58187,1865,SIFT,34.7165,1898,10.7352,10.5966,12.6142,47.0336,0002
FAST,1.50147,1840,SIFT,35.6049,1865,12.9613,18.0466,14.091,50.0677,0003
FAST,1.49737,1867,SIFT,36.6771,1840,11.4273,13.2296,16.6894,49.6018,0004
FAST,1.53036,1876,SIFT,34.0281,1867,11.0297,-inf,15.9082,46.5882,0005
FAST,1.52117,1843,SIFT,33.8793,1876,11.3304,13.0669,12.6787,46.7308,0006
FAST,1.50585,1829,SIFT,36.9228,1843,12.2851,11.9908,11.9844,50.7138,0007
FAST,1.50959,1843,SIFT,35.257,1829,11.6435,12.313,13.1241,48.4101,0008
FAST,1.56075,1818,SIFT,34.8211,1843,11.4731,13.4079,13.0241,47.855,0009
FAST,1.50831,1879,SIFT,34.9323,1818,11.5003,13.1229,11.1746,47.9409,0010
FAST,1.52064,1849,SIFT,34.7566,1879,11.6555,15.078,12.8086,47.9327,0011
FAST,1.51763,1826,SIFT,34.9506,1849,11.6593,11.0967,8.95978,48.1275,0012
FAST,1.61455,1842,SIFT,36.394,1826,11.2423,12.2321,9.96439,49.2508,0013
FAST,1.4707,1833,SIFT,38.3934,1842,11.8493,11.362,9.59863,51.7133,0014
FAST,1.5904,1921,SIFT,35.2454,1833,11.573,10.9421,8.57352,48.4087,0015
FAST,1.48065,1934,SIFT,35.257,1921,12.9767,12.1039,9.51617,49.7143,0016
FAST,1.58263,1946,SIFT,36.3777,1934,12.7167,7.47235,9.54658,50.677,0017
FAST,1.53835,1961,SIFT,35.8336,1946,12.7505,11.3227,8.3988,50.1225,0018
BRISK,135.269,2997,BRIEF,13.7643,2871,20.9824,13.7088,12.5156,170.015,0001
BRISK,134.715,2974,BRIEF,13.6417,2970,21.1293,18.2946,12.6142,169.486,0002
